# reference results obtained by running fit_cosmic3_and_evaluate(cancer_types = ['Head-SCC', 'ColoRect-AdenoCA']) in main.py
# tool: SigProfilerAssignment (SPA), v0.0.30
cancer_type	weights	samples	muts	MAE	MAEstd	RMSE	wT	n_eff	MAE_TP	wT_FP	wT_FP_std	n_FP	wT_FN	n_FN	Pearson_r
Head-SCC	w_0	100	100	0.3330	0.2141	0.3953	0.9747	2.8311	0.2374	0.1913	0.2164	0.9700	0.2604	0.7400	0.3217
Head-SCC	w_0	100	2000	0.0531	0.0830	0.0981	1.0000	2.9477	0.0530	0.0002	0.0012	0.0200	0.0197	0.3200	0.9764
Head-SCC	w_0	100	50000	0.0094	0.0222	0.0241	1.0000	3.0587	0.0094	0.0000	0.0000	0.0000	0.0019	0.1500	0.9984
Head-SCC	w_1	100	100	0.3328	0.2259	0.4016	0.9764	2.7680	0.2370	0.1917	0.2093	0.9500	0.2653	0.7800	0.2528
Head-SCC	w_1	100	2000	0.0523	0.0775	0.0932	1.0000	2.9805	0.0517	0.0011	0.0114	0.0100	0.0174	0.2900	0.9794
Head-SCC	w_1	100	50000	0.0158	0.0546	0.0566	1.0000	3.0656	0.0158	0.0000	0.0001	0.0300	0.0073	0.1800	0.9922
ColoRect-AdenoCA	w_0	100	100	0.3739	0.2772	0.4646	0.9780	2.7539	0.2528	0.2421	0.2688	1.0800	0.3344	0.9600	0.1324
ColoRect-AdenoCA	w_0	100	2000	0.0487	0.0592	0.0764	0.9999	2.7029	0.0471	0.0032	0.0165	0.0500	0.0174	0.2400	0.9535
ColoRect-AdenoCA	w_0	100	50000	0.0104	0.0119	0.0158	1.0000	2.7551	0.0102	0.0003	0.0020	0.0400	0.0024	0.1400	0.9984
ColoRect-AdenoCA	w_1	100	100	0.3643	0.2510	0.4417	0.9758	2.7422	0.2563	0.2160	0.2366	1.1000	0.2969	0.9300	0.2314
ColoRect-AdenoCA	w_1	100	2000	0.0716	0.0955	0.1190	1.0000	2.5549	0.0700	0.0033	0.0182	0.0500	0.0471	0.3400	0.8725
ColoRect-AdenoCA	w_1	100	50000	0.0092	0.0104	0.0139	1.0000	2.7323	0.0092	0.0001	0.0004	0.0200	0.0011	0.0700	0.9984
